name,displayName,cycle,defects,teams,projectCategory,region,os,deviceType,chipsetVendor,chipsetNewness,pipeline,operators,userPrograms,idhVendor,frQuantity,mm,supportSim,validStartDate,validEndDate
"TCLUI9.0集Ruby VZW（主测）
",SOC16MT6835NA,,,,SOC,NA,ANDROID,Smart phone,MTK,Old,全部,ALL,FUT;IUT,,17649,105,Yes,2025/6/8,2025/10/15
TCLUI9.0,SOC16MT6835GL,,,,SOC,GL,Android,Smart phone,MTK,Old,,,,,6413,,Yes,2025/6/8,2025/10/15
Monet NP Dish,MNTNPDH,,,,Variant,NA,ANDROID,Smart phone,Qualcomm,New,冒烟,US_DISH,,,1261,42,Yes,2026/1/15,2026/6/22
GFlip6.5 Dish,GF65DISH,,,,Variant,NA,AOSP,Smart phone,MTK,Old,,US_DISH,,,910,8,Yes,2025/11/14,2025/12/16
Monet SE CAN/OM & Monet NP CAN,MNTNPOM,,,,Variant,NA,ANDROID,Smart phone,Qualcomm,New,冒烟,US_Can,FUT,,3540,24,Yes,2025/11/14,2026/3/8
Swift POS,SWIFT,,,,IDH 全O,GL,ANDROID,POS,MTK,Old,,,,麦博,660,27,Yes,2025/12/31,2026/5/14
Selene ATT,SELENEATT,,,,NPI leading,NA,ANDROID,Smart phone,MTK,Old,冒烟,US_ATT,FUT,,1665,55,Yes,2025/10/27,2026/3/30
Bamboo&Bamboo Power,BAMB,,,,IDH联合项目,GL,Android,Tablet,MTK,Old,,,,,2773,92,Yes,2025/9/29,2026/1/5
Monet TF,MONETTF,,,,Variant,NA,ANDROID,Smart phone,Qualcomm,New,冒烟,US_TF,FUT,,67,43,Yes,2025/10/8,2026/3/24
Monet VZW,MONETVZW,,,,NPI leading,NA,ANDROID,Smart phone,Qualcomm,New,全部,US_VZW,FUT;IUT,,622,53,Yes,2025/10/17,2026/2/2
Metis 12.2 Vision WIFI,METIS,,,,中国区定制,CN,Android,Tablet,MTK,Old,,,,,125,33,No,2025/8/19,2025/9/19
Swing NA OM,SWNAOM,,,,Variant,NA,ANDROID,Smart phone,MTK,New,冒烟,US_OM,FUT,,2946,69,Yes,2025/9/22,2026/4/24
Scarab Lite CAN,SLCAN,,,,NPI leading,NA,ANDROID,Smart phone,MTK,Old,全部,US_Can,FUT,,1812,23,Yes,2025/8/11,2025/12/13
Goldfinch Pro Dish OSUP,GPDISHOSUP,,,,OS Update,NA,ANDROID,Smart phone,MTK,Old,冒烟,US_DISH,,,2516,27,Yes,2025/7/11,2025/12/24
DahliaMax,DAHMAX,,,,IDH 全O,GL,ANDROID,Smart phone,,,,,,麦博,618,7,Yes,2025/6/17,2025/8/25
Frida,FRIDA,,,,NPI leading,GL,Android,Smart phone,MTK,New,,,,,3192,99,Yes,2025/7/29,2025/11/12
GFlip 5G BBH,GF5GBBH,,,,NPI leading,NA,KAIOS,Feature phone,MTK,Old,冒烟,US_BBH,,,3429,56,Yes,2028/8/29,2026/1/23
Goldfinch Pro GL OS UP【A15】,GPGLUP,,,,OS Update,GL,Android,Smart phone,MTK,Old,,,,,4543,64,Yes,2025/3/31,2025/7/25
Beryl BBH,BEBBH,,,,NPI leading,NA,ANDROID,Smart phone,MTK,Old,全部,US_BBH,FUT,,2770,58,Yes,2025/8/5,2026/1/31
Swing TMO,SWGTMO,,,,NPI leading,NA,ANDROID,Smart phone,MTK,New,全部,US_TMO,FUT;IUT,,1969,75,Yes,2025/8/15,2026/2/12
SWGTMO,GCHPCSV,,,,OS Update,NA,ANDROID,Smart phone,MTK,Old,冒烟,US_C-spire,,,1112,19,Yes,2025/7/14,2025/11/10
Goldfinch TMO OS UP,GCHTMOV,,,,OS Update,NA,ANDROID,Smart phone,MTK,Old,冒烟,US_TMO,,,1300,27,Yes,2025/7/14,2025/11/3
Venus 8.7 4G NA OM,VENUSNAOM,,,,NPI leading,NA,ANDROID,Tablet,MTK,Old,,US_OM,,,2268,40,Yes,2025/1/16,2025/6/3
Ruby TF,RUBYTF,,,,Variant,NA,ANDROID,Smart phone,MTK,Old,,US_TF,,,3023,34,Yes,2024/9/18,2025/3/7
Beryl VZW,BERVZW,,,,NPI leading,NA,ANDROID,Smart phone,MTK,Old,,US_VZW,,,3888,69,Yes,2024/12/16,2025/6/25
Ruby VZW,RUBYVZW,,,,NPI leading,NA,ANDROID,Smart phone,MTK,Old,,US_VZW,,,4586,56,Yes,2024/9/10,2025/3/4
Beryl TMO,BERTMO,,,,NPI leading,NA,Android,Smart phone,Qualcomm,New,,US_TMO,,,4313,50,Yes,2024/9/20,2025/3/21
Goldfinch Pro Dish,GPDISH,,,,Variant,NA,ANDROID,Smart phone,MTK,Old,,US_DISH,,,3570,51,Yes,2024/9/18,2025/1/20
GFlip 5G TMO,GF5GTMO,,,,NPI leading,NA,KAIOS,Feature phone,Qualcomm,New,No,US_TMO,FUT;IUT,,4450,88,Yes,2024/9/16,2025/4/2
Scarab Pro NA OM,SCPNAOM,,,,Variant,NA,Android,Smart phone,MTK,Old,,US_NA OM,,,2383,24,Yes,2024/5/31,2024/8/18
Sonata BBH OS Update,BBHOSUP,,,,OS Update,NA,Android,Smart phone,MTK,Old,,US_OM,,,3264,23,Yes,2024/7/17,2024/11/15
Luna 8 4G VZW OS UP,LUNAVZWU,,,,OS Update,NA,Android,Tablet,MTK,Old,,US_VZW,,,4170,13,Yes,2025/2/28,2025/6/25
Gflip6.5 USCC,GF65USCC,,,,Variant,NA,Kaios,Feature phone,MTK,Old,,US_USCC,,,918,10,Yes,2023/12/10,2024/4/15
GFlip7 OM,GF7OM,,,,Variant,NA,Kaios,Feature phone,Qualcomm,Old,,US_OM,,,564,15,Yes,2023/12/18,2024/5/3
Goldfinch TMO,GCHTMO,,,,NPI leading,NA,Android,Smart phone,MTK,New,全部,US_TMO,,,2344,63,Yes,2023/11/7,2024/3/29
Optimus 10.4 5G VZW,OGV,,,,NPI leading,NA,Android,Tablet,MTK,Old,,US_VZW,,,2268,50,Yes,2023/11/22,2024/4/2
Scarab Pro TF,SCPT,,,,NPI leading,NA,Android,Smart phone,MTK,Old,,US_TF,,,2252,51,Yes,2023/10/17,2024/5/6
Dragonfly TF,DIT,,,,NPI leading,NA,Android,Smart phone,MTK,New,,US_TF,,,2511,48,Yes,2023/9/20,2024/4/8
Luna 8 4G ATT,LUNA8ATT,,,,NPI leading,NA,Android,Smart phone,MTK,Old,,US_ATT,,,4112,61,Yes,2023/9/1,2023/12/15
Dragonfly OM,DOM,,,,Variant,NA,Android,Smart phone,MTK,Old,,US_OM,,,2934,27,Yes,2023/12/7,2024/6/12
Dragonfly CAN,DRGFCAN,,,,Variant,NA,Android,Smart phone,MTK,Old,,US_其他,,,3447,18,Yes,2024/1/5,2024/3/13
GFlip7 VZW,GF7VZW,,,,NPI leading,NA,KAIOS,Feature phone,Qualcomm,Old,,US_VZW,,,6145,43,Yes,2023/9/8,2024/4/9
Gflip7 TF KAIOS,GF7TF,,,,NPI leading,NA,KAIOS,Feature phone,Qualcomm,Old,,US_TF,,,3434,58,Yes,2023/9/6,2024/5/29
Scarab Pro VZW,SCPV,,,,NPI leading,NA,Android,Smart phone,MTK,Old,,US_TF,,,3987,63,Yes,2023/10/20,2024/4/16
Odin 10.1 TMO 5G,ODIN5GTMO,,,,NPI leading,NA,Android,Tablet,MTK,Old,,US_TMO,,,2614,,Yes,2022/2/28,2022/6/20
Luna 8 4G TMO,LUNATMO,,,,NPI leading,NA,Android,Tablet,MTK,Old,,US_TMO,,,2134,,Yes,2022/7/11,2022/11/11
Buffalo Boost,BUFFBO,,,,NPI leading,NA,Android,Smart phone,MTK,Old,,US_DISH,,,2123,,Yes,2022/1/17,2022/6/6
GFlip6 ATT,GA,,,,NPI leading,NA,AOSP,Feature phone,MTK,Old,,US_ATT,,,964,,Yes,2021/12/3,2022/4/12
Gflip6 TF,GF6TF,,,,NPI leading,NA,AOSP,Smart phone,MTK,Old,,US_TF,,,4747,,Yes,2021/11/15,2022/3/15
Bora TF,BORATF,,,,NPI leading,NA,Android,Smart phone,MTK,Old,,US_TF,,,6074,0,Yes,2022/8/15,2023/7/22
Encore TF,ENCORETF,,,,NPI leading,NA,Android,Smart phone,MTK,Old,,US_TF,,,7743,2,Yes,2022/8/25,2023/6/4
Buffalo TMO OS UP,TMTSEC278,,,,OS Update,NA,Android,Smart phone,MTK,New,,US_TMO,,,3925,,Yes,2022/3/24,2022/10/28
Buffalo CAN,BUFFCAN,,,,Variant,NA,Android,Smart phone,MTK,Old,,,,,2192,,Yes,2022/1/10,2022/4/22
Bora TMO,BORATMO,,,,NPI leading,NA,Android,Smart phone,MTK,Old,,US_TMO,,,3277,0,Yes,2022/7/15,2022/12/8
Apollo 8 4G USCC,A84GUSCC,,,,Variant,NA,Android,Tablet,MTK,Old,,US_USCC,,,1065,,Yes,2022/5/23,2022/9/2
Encore VZW,ENCOREVZW,,,,NPI leading,NA,Android,Smart phone,MTK,New,,US_VZW,,,5137,0,Yes,2022/8/30,2023/4/7
Encore Spectrum,ENCORESPECTRUM,,,,NPI leading,NA,Android,Smart phone,MTK,Old,,,,,483,1,Yes,2022/12/28,2023/6/7
Bora NA OM,BORANAOM,,,,Variant,NA,Android,Smart phone,MTK,Old,,US_OM,,,2472,6,Yes,2022/11/29,2023/3/30
Encore CAN,ENCORECAN,,,,Variant,NA,Android,Smart phone,MTK,Old,,,,,1116,0,Yes,2022/10/28,2023/2/24
Encore Visible,ENCOREVI,,,,Variant,NA,Android,Smart phone,MTK,Old,,,,,651,1,Yes,2023/2/28,2023/5/17
Rio TMO,RIOTMO,,,,NPI leading,NA,Android,Smart phone,MTK,Old,,US_TMO,,,3491,14,Yes,2023/4/26,2023/9/1
Encore USCC,ENCOREUSCC,,,,Variant,NA,Android,Smart phone,MTK,Old,,US_USCC,,,1904,8,Yes,2023/4/17,2023/8/22
A01,A01,,,,IDH 全O,GL,Android,Smart phone,MTK,Old,,,,麦博,,11,Yes,2025/7/21,2025/9/30
C3F SE,C3FSE,,,,IDH 全O,GL,AOSP,Feature phone,MTK,Old,,,,驰腾,,7,Yes,2026/3/10,2026/5/22
N5DET,N5DET,,,,IDH 全O,GL,Android,Smart phone,MTK,Old,,,,传佳音,,4,Yes,2026/4/12,2026/5/13
NOA1,NOA1,,,,IDH 全O,GL,Android,Smart phone,MTK,Old,,,,传佳音,,9,Yes,2025/12/15,2026/4/22